iter	Passed	Remaining
0	39	7907
1	61	6039
2	80	5273
3	133	6533
4	165	6456
5	210	6813
6	256	7078
7	292	7030
8	332	7049
9	359	6821
10	410	7056
11	440	6907
12	472	6793
13	500	6649
14	532	6569
15	564	6490
16	597	6436
17	626	6331
18	662	6308
19	706	6357
20	741	6323
21	774	6267
22	810	6237
23	843	6187
24	873	6116
25	906	6064
26	940	6028
27	976	6001
28	1007	5939
29	1031	5842
30	1065	5809
31	1099	5771
32	1136	5750
33	1173	5728
34	1208	5698
35	1244	5667
36	1279	5635
37	1316	5610
38	1354	5593
39	1387	5551
40	1419	5504
41	1454	5470
42	1486	5428
43	1518	5382
44	1551	5343
45	1585	5306
46	1621	5277
47	1666	5276
48	1709	5267
49	1743	5230
50	1777	5191
51	1800	5124
52	1843	5112
53	1877	5077
54	1911	5039
55	1944	5000
56	1986	4982
57	2027	4963
58	2061	4926
59	2084	4863
60	2118	4827
61	2153	4792
62	2188	4760
63	2221	4721
64	2257	4688
65	2292	4653
66	2324	4614
67	2359	4580
68	2399	4554
69	2433	4519
70	2463	4476
71	2496	4439
72	2532	4405
73	2593	4415
74	2629	4382
75	2663	4345
76	2695	4306
77	2741	4287
78	2778	4256
79	2811	4217
80	2843	4177
81	2871	4131
82	2909	4101
83	2938	4058
84	2966	4013
85	3001	3978
86	3037	3945
87	3072	3910
88	3115	3886
89	3166	3870
90	3209	3844
91	3243	3807
92	3277	3771
93	3310	3732
94	3351	3704
95	3384	3666
96	3403	3613
97	3433	3573
98	3465	3535
99	3495	3495
100	3527	3457
101	3561	3422
102	3596	3387
103	3632	3352
104	3666	3317
105	3695	3276
106	3722	3235
107	3756	3200
108	3790	3164
109	3824	3128
110	3858	3094
111	3892	3058
112	3926	3022
113	3959	2986
114	3993	2951
115	4028	2917
116	4062	2881
117	4095	2846
118	4129	2811
119	4162	2774
120	4197	2740
121	4225	2701
122	4250	2660
123	4285	2626
124	4316	2589
125	4352	2556
126	4386	2521
127	4422	2487
128	4455	2452
129	4492	2418
130	4523	2382
131	4557	2347
132	4599	2316
133	4632	2281
134	4666	2246
135	4701	2212
136	4735	2177
137	4770	2143
138	4805	2108
139	4830	2070
140	4865	2035
141	4900	2001
142	4943	1970
143	4976	1935
144	5006	1899
145	5034	1861
146	5064	1825
147	5095	1790
148	5128	1755
149	5158	1719
150	5184	1682
151	5218	1648
152	5260	1616
153	5296	1582
154	5330	1547
155	5364	1512
156	5398	1478
157	5433	1444
158	5468	1410
159	5502	1375
160	5537	1341
161	5569	1306
162	5593	1269
163	5625	1234
164	5659	1200
165	5694	1166
166	5729	1132
167	5762	1097
168	5794	1062
169	5824	1027
170	5852	992
171	5883	957
172	5916	923
173	5950	889
174	5984	854
175	6020	820
176	6056	786
177	6091	752
178	6131	719
179	6157	684
180	6190	649
181	6223	615
182	6256	581
183	6288	546
184	6322	512
185	6355	478
186	6388	444
187	6424	410
188	6466	376
189	6498	342
190	6530	307
191	6566	273
192	6594	239
193	6635	205
194	6667	170
195	6699	136
196	6735	102
197	6769	68
198	6795	34
199	6826	0
6924	0

199	7119	0
